Name,Type
salvagnin noir,Red
samoireau,Red
samoreau,Red
samtrot,Red
saumensois,Red
saumoireau,Red
savagin noir,Red
savagnin noir,Red
schurzir riesling,Red
schwartz klevner,Red
schwarz traeuble,Red
schwarzblauer klevner,Red
schwarze fraenkische,Red
schwarzer,Red
schwarzer assmannshaeuser,Red
schwarzer burgunder,Red
schwarzer champagner,Red
schwarzer klaevner,Red
schwarzer klevner,Red
schwarzer riesling,Red
schwarzer rissling,Red
schwarzer suessling,Red
schwarzer tokayer,Red
schwarzklaevner,Red
schwarzklevner,Red
schwarztraeuble,Red
servagnin noir de seyssel,Red
sevagnin noir,Red
shpachock,Red
shpachok,Red
shpetburgunder,Red
spacok,Red
spaetburgunder,Red
spaetburgunder blauer,Red
spaeter burgunder,Red
spaetes moehrchen,Red
spaetes moerchen,Red
spatburgunder,Red
spetburgunder,Red
suesschwarz grobes,Red
suessedel,Red
suessling,Red
suessrot,Red
suessroth,Red
suessschwarz,Red
suessschwarzer,Red
susschwarzer,Red
sussedel,Red
sussrot,Red
sussschwarzer,Red
talvagnere rouge,Red
talvagnues rouges,Red
ternent,Red
thalrother,Red
tinto,Red
traminer blau,Red
traminer schwarz,Red
vert dore,Red
vrai auvernas,Red
waltertinger,Red
blauer wildbacher,Red
wildbacher blau,Red
blauer greutler,Red
blauer kracher,Red
dioljak,Red
divljak,Red
echter blauer wildbacher,Red
echter wildbacher blau,Red
fruehblaue,Red
fruehblauer wildbacher,Red
graeutler,Red
graeutler blauer,Red
grosser mauserl,Red
grosses mauserl,Red
gutblaue,Red
kauka schlechte,Red
kleinblaue,Red
kracher blauer,Red
kraeutler blau,Red
mali zherni,Red
maslerl,Red
mauserl,Red
mauserl grosses,Red
pticnik crni,Red
ptinik crni,Red
schilcher,Red
schilchertraube,Red
schillertraube,Red
schlechte kauka,Red
schlehenolauer wildbacher,Red
spaete blauer wildbacher,Red
tizhnik,Red
vildbasske,Red
vranek,Red
vranac,Red
wildbacher,Red
